college-stub	department-stub	program-stub	college-name-short	program-name	program-url
family-home-and-social-sciences	civic-engagement-program	civic-engagement-leadership-minor	Family Home and Social Sciences	Civic Engagement Program	Civic Engagement Leadership (Minor)	/family-home-and-social-sciences/civic-engagement-program/civic-engagement-leadership-minor
engineering-and-technology	civil-and-environmental-engineering	civil-engineering-bs	Engineering and Technology	Civil and Environmental Engineering	Civil Engineering (BS)	/engineering-and-technology/civil-and-environmental-engineering/civil-engineering-bs
humanities	comparative-arts-and-letters	classical-studies-greek-option-minor	Humanities	Comparative Arts and Letters	Classical Studies (Greek option) (Minor)	/humanities/comparative-arts-and-letters/classical-studies-greek-option-minor
humanities	comparative-arts-and-letters	classical-studies-latin-option-minor	Humanities	Comparative Arts and Letters	Classical Studies (Latin option) (Minor)	/humanities/comparative-arts-and-letters/classical-studies-latin-option-minor
humanities	comparative-arts-and-letters	classical-studies-classical-civilization-ba	Humanities	Comparative Arts and Letters	Classical Studies: Classical Civilization (BA)	/humanities/comparative-arts-and-letters/classical-studies-classical-civilization-ba
humanities	comparative-arts-and-letters	classical-studies-classics-ba	Humanities	Comparative Arts and Letters	Classical Studies: Classics (BA)	/humanities/comparative-arts-and-letters/classical-studies-classics-ba
humanities	comparative-arts-and-letters	classical-studies-greek-emphasis-ba	Humanities	Comparative Arts and Letters	Classical Studies: Greek Emphasis (BA)	/humanities/comparative-arts-and-letters/classical-studies-greek-emphasis-ba
humanities	comparative-arts-and-letters	classical-studies-latin-emphasis-ba	Humanities	Comparative Arts and Letters	Classical Studies: Latin Emphasis (BA)	/humanities/comparative-arts-and-letters/classical-studies-latin-emphasis-ba
fine-arts-and-communications	school-of-music	commercial-music-bm	Fine Arts and Communications	School of Music	Commercial Music (BM)	/fine-arts-and-communications/school-of-music/commercial-music-bm
education	communication-disorders	communication-disorders-bs	Education	Communication Disorders	Communication Disorders (BS)	/education/communication-disorders/communication-disorders-bs
fine-arts-and-communications	school-of-communications	communications-minor	Fine Arts and Communications	School of Communications	Communications (Minor)	/fine-arts-and-communications/school-of-communications/communications-minor
fine-arts-and-communications	school-of-communications	communications-advertising-ba	Fine Arts and Communications	School of Communications	Communications: Advertising (BA)	/fine-arts-and-communications/school-of-communications/communications-advertising-ba
fine-arts-and-communications	school-of-communications	communications-news-media-ba	Fine Arts and Communications	School of Communications	Communications: News Media (BA)	/fine-arts-and-communications/school-of-communications/communications-news-media-ba
fine-arts-and-communications	school-of-communications	communications-public-relations-ba	Fine Arts and Communications	School of Communications	Communications: Public Relations (BA)	/fine-arts-and-communications/school-of-communications/communications-public-relations-ba
humanities	comparative-arts-and-letters	comparative-literature-ba	Humanities	Comparative Arts and Letters	Comparative Literature (BA)	/humanities/comparative-arts-and-letters/comparative-literature-ba
engineering-and-technology	electrical-and-computer-engineering	computer-engineering-bs	Engineering and Technology	Electrical and Computer Engineering	Computer Engineering (BS)	/engineering-and-technology/electrical-and-computer-engineering/computer-engineering-bs
physical-and-mathematical-sciences	computer-science	computer-science-minor	Physical and Mathematical Sciences	Computer Science	Computer Science (Minor)	/physical-and-mathematical-sciences/computer-science/computer-science-minor
physical-and-mathematical-sciences	computer-science	computer-science-bs	Physical and Mathematical Sciences	Computer Science	Computer Science (BS)	/physical-and-mathematical-sciences/computer-science/computer-science-bs
physical-and-mathematical-sciences	computer-science	computer-science-teaching-minor	Physical and Mathematical Sciences	Computer Science	Computer Science Teaching (Minor)	/physical-and-mathematical-sciences/computer-science/computer-science-teaching-minor
physical-and-mathematical-sciences	computer-science	computer-science-animation-bs	Physical and Mathematical Sciences	Computer Science	Computer Science: Animation (BS)	/physical-and-mathematical-sciences/computer-science/computer-science-animation-bs
physical-and-mathematical-sciences	computer-science	computer-science-bioinformatics-bs	Physical and Mathematical Sciences	Computer Science	Computer Science: Bioinformatics (BS)	/physical-and-mathematical-sciences/computer-science/computer-science-bioinformatics-bs
life-sciences	biology	conservation-biology-bs	Life Sciences	Biology	Conservation Biology (BS)	/life-sciences/biology/conservation-biology-bs
engineering-and-technology	school-of-technology	construction-and-facilities-management-construction	Engineering and Technology	School of Technology	Construction and Facilities Management: Construction Management (BS)	/engineering-and-technology/school-of-technology/construction-and-facilities-management-construction
engineering-and-technology	school-of-technology	construction-and-facilities-management-facilities	Engineering and Technology	School of Technology	Construction and Facilities Management: Facilities Management (BS)	/engineering-and-technology/school-of-technology/construction-and-facilities-management-facilities
fine-arts-and-communications	dance	contemporary-dance-minor	Fine Arts and Communications	Dance	Contemporary Dance (Minor)	/fine-arts-and-communications/dance/contemporary-dance-minor
humanities	english	creative-writing-minor	Humanities	English	Creative Writing (Minor)	/humanities/english/creative-writing-minor
fine-arts-and-communications	dance	dance-ba	Fine Arts and Communications	Dance	Dance (BA)	/fine-arts-and-communications/dance/dance-ba
fine-arts-and-communications	dance	dance-education-k-12-ba	Fine Arts and Communications	Dance	Dance Education K-12 (BA)	/fine-arts-and-communications/dance/dance-education-k-12-ba
fine-arts-and-communications	design	design-minor	Fine Arts and Communications	Design	Design (Minor)	/fine-arts-and-communications/design/design-minor
fine-arts-and-communications	design	design-graphic-design-ba	Fine Arts and Communications	Design	Design: Graphic Design (BA)	/fine-arts-and-communications/design/design-graphic-design-ba
fine-arts-and-communications	design	design-illustration-ba	Fine Arts and Communications	Design	Design: Illustration (BA)	/fine-arts-and-communications/design/design-illustration-ba
fine-arts-and-communications	design	design-photography-ba	Fine Arts and Communications	Design	Design: Photography (BA)	/fine-arts-and-communications/design/design-photography-ba
life-sciences	nutrition-dietetics-and-food-science	dietetics-bs	Life Sciences	Nutrition Dietetics and Food Science	Dietetics (BS)	/life-sciences/nutrition-dietetics-and-food-science/dietetics-bs
humanities	digital-humanities-program	digital-humanities-and-technology-minor	Humanities	Digital Humanities Program	Digital Humanities and Technology (Minor)	/humanities/digital-humanities-program/digital-humanities-and-technology-minor
education	teacher-education	dual-language-immersion-k-12-teaching-minor	Education	Teacher Education	Dual-Language Immersion K-12 Teaching (Minor)	/education/teacher-education/dual-language-immersion-k-12-teaching-minor
education	teacher-education	early-childhood-education-bs	Education	Teacher Education	Early Childhood Education (BS)	/education/teacher-education/early-childhood-education-bs
physical-and-mathematical-sciences	geological-sciences	earth-space-science-education-bs	Physical and Mathematical Sciences	Geological Sciences	Earth & Space Science Education (BS)	/physical-and-mathematical-sciences/geological-sciences/earth-space-science-education-bs
family-home-and-social-sciences	economics	economics-bs	Family Home and Social Sciences	Economics	Economics (BS)	/family-home-and-social-sciences/economics/economics-bs
family-home-and-social-sciences	economics	economics-minor	Family Home and Social Sciences	Economics	Economics (Minor)	/family-home-and-social-sciences/economics/economics-minor
humanities	linguistics-and-english-language	editing-minor	Humanities	Linguistics and English Language	Editing (Minor)	/humanities/linguistics-and-english-language/editing-minor
engineering-and-technology	electrical-and-computer-engineering	electrical-engineering-bs	Engineering and Technology	Electrical and Computer Engineering	Electrical Engineering (BS)	/engineering-and-technology/electrical-and-computer-engineering/electrical-engineering-bs
education	teacher-education	elementary-education-bs	Education	Teacher Education	Elementary Education (BS)	/education/teacher-education/elementary-education-bs
humanities	english	english-ba	Humanities	English	English (BA)	/humanities/english/english-ba
humanities	english	english-minor	Humanities	English	English (Minor)	/humanities/english/english-minor
humanities	linguistics-and-english-language	english-language-ba	Humanities	Linguistics and English Language	English Language (BA)	/humanities/linguistics-and-english-language/english-language-ba
humanities	english	english-teaching-ba	Humanities	English	English Teaching (BA)	/humanities/english/english-teaching-ba
humanities	english	english-teaching-minor	Humanities	English	English Teaching (Minor)	/humanities/english/english-teaching-minor
life-sciences	plant-and-wildlife-sciences	environmental-science-bs	Life Sciences	Plant and Wildlife Sciences	Environmental Science (BS)	/life-sciences/plant-and-wildlife-sciences/environmental-science-bs
life-sciences	plant-and-wildlife-sciences	environmental-science-minor	Life Sciences	Plant and Wildlife Sciences	Environmental Science (Minor)	/life-sciences/plant-and-wildlife-sciences/environmental-science-minor
international-and-area-studies	european-studies-program	european-studies-ba	International and Area Studies	European Studies Program	European Studies (BA)	/international-and-area-studies/european-studies-program/european-studies-ba
international-and-area-studies	european-studies-program	european-studies-minor	International and Area Studies	European Studies Program	European Studies (Minor)	/international-and-area-studies/european-studies-program/european-studies-minor
life-sciences	exercise-sciences	exercise-wellness-bs	Life Sciences	Exercise Sciences	Exercise & Wellness (BS)	/life-sciences/exercise-sciences/exercise-wellness-bs
life-sciences	exercise-sciences	exercise-science-bs	Life Sciences	Exercise Sciences	Exercise Science (BS)	/life-sciences/exercise-sciences/exercise-science-bs
family-home-and-social-sciences	school-of-family-life	family-consumer-sciences-education-bs	Family Home and Social Sciences	School of Family Life	Family & Consumer Sciences Education (BS)	/family-home-and-social-sciences/school-of-family-life/family-consumer-sciences-education-bs
family-home-and-social-sciences	history	family-history-genealogy-minor	Family Home and Social Sciences	History	Family History - Genealogy (Minor)	/family-home-and-social-sciences/history/family-history-genealogy-minor
family-home-and-social-sciences	history	family-history-genealogy-ba	Family Home and Social Sciences	History	Family History - Genealogy (BA)	/family-home-and-social-sciences/history/family-history-genealogy-ba
family-home-and-social-sciences	school-of-family-life	family-life-minor	Family Home and Social Sciences	School of Family Life	Family Life (Minor)	/family-home-and-social-sciences/school-of-family-life/family-life-minor
family-home-and-social-sciences	school-of-family-life	family-life-family-studies-bs	Family Home and Social Sciences	School of Family Life	Family Life: Family Studies (BS)	/family-home-and-social-sciences/school-of-family-life/family-life-family-studies-bs
family-home-and-social-sciences	school-of-family-life	family-life-human-development-bs	Family Home and Social Sciences	School of Family Life	Family Life: Human Development (BS)	/family-home-and-social-sciences/school-of-family-life/family-life-human-development-bs
management	finance	finance-bs	Management	Finance	Finance (BS)	/management/finance/finance-bs
life-sciences	nutrition-dietetics-and-food-science	food-science-bs	Life Sciences	Nutrition Dietetics and Food Science	Food Science (BS)	/life-sciences/nutrition-dietetics-and-food-science/food-science-bs
humanities	french-and-italian	french-minor	Humanities	French and Italian	French (Minor)	/humanities/french-and-italian/french-minor
humanities	french-and-italian	french-ba	Humanities	French and Italian	French (BA)	/humanities/french-and-italian/french-ba
humanities	french-and-italian	french-studies-ba	Humanities	French and Italian	French Studies (BA)	/humanities/french-and-italian/french-studies-ba
humanities	french-and-italian	french-teaching-minor	Humanities	French and Italian	French Teaching (Minor)	/humanities/french-and-italian/french-teaching-minor
humanities	french-and-italian	french-teaching-ba	Humanities	French and Italian	French Teaching (BA)	/humanities/french-and-italian/french-teaching-ba
continuing-education	bachelor-of-general-studies	general-studies-american-studies-bgs	Continuing Education	Bachelor of General Studies	General Studies: American Studies  (BGS)	/continuing-education/bachelor-of-general-studies/general-studies-american-studies-bgs
continuing-education	bachelor-of-general-studies	general-studies-english-bgs	Continuing Education	Bachelor of General Studies	General Studies: English  (BGS)	/continuing-education/bachelor-of-general-studies/general-studies-english-bgs
continuing-education	bachelor-of-general-studies	general-studies-family-life-bgs	Continuing Education	Bachelor of General Studies	General Studies: Family Life  (BGS)	/continuing-education/bachelor-of-general-studies/general-studies-family-life-bgs
continuing-education	bachelor-of-general-studies	general-studies-history-bgs	Continuing Education	Bachelor of General Studies	General Studies: History  (BGS)	/continuing-education/bachelor-of-general-studies/general-studies-history-bgs
continuing-education	bachelor-of-general-studies	general-studies-management-bgs	Continuing Education	Bachelor of General Studies	General Studies: Management  (BGS)	/continuing-education/bachelor-of-general-studies/general-studies-management-bgs
continuing-education	bachelor-of-general-studies	general-studies-psychology-bgs	Continuing Education	Bachelor of General Studies	General Studies: Psychology  (BGS)	/continuing-education/bachelor-of-general-studies/general-studies-psychology-bgs
life-sciences	plant-and-wildlife-sciences	genetics-biotechnology-bs	Life Sciences	Plant and Wildlife Sciences	Genetics & Biotechnology (BS)	/life-sciences/plant-and-wildlife-sciences/genetics-biotechnology-bs
